"elev_kon";"vitsord_ma";"vitsord_mo";"utb_pabygg_mamma";"utb_pabygg_pappa";"medievanor1";"medievanor2";"medievanor3";"hur_ofta_lasbarn1";"hur_ofta_lasbarn2";"hur_ofta_lasbarn3";"hur_ofta_lasbarn5";"hur_garna_lasbarn1";"hur_garna_lasbarn2";"hur_garna_lasbarn3";"hur_garna_lasbarn5";"dist";"imp";"moto";"rikt";"uppr";"skif";"efig";"efpl";"efutf";"efutv"
"Flicka";NA;NA;4;1;3;1;1;3;2;4;1;6;6;7;3;2;4;3;0;3;1;2;1;2;3
"Pojke";NA;NA;4;2;4;3;3;4;4;1;3;5;5;3;5;0;1;0;2;0;0;1;1;0;0
"Pojke";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;2;2;0;0;0;0;0;0;1
"Flicka";NA;NA;4;2;3;3;2;5;2;2;2;4;3;4;2;2;3;0;4;4;2;5;4;5;0
"Flicka";9;8;5;4;3;3;1;2;5;5;2;5;5;7;4;0;0;0;0;0;1;0;0;0;0
"Flicka";7;7;2;2;2;2;2;3;3;3;2;7;7;5;5;1;3;0;3;4;5;4;2;NA;3
"Pojke";8;8;6;5;2;3;3;NA;3;2;2;1;1;2;3;2;2;0;1;1;1;1;1;1;2
"Pojke";9;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;9;2;2;0;0;2;0;3;2
"Flicka";9;8;2;2;6;6;6;3;3;2;1;6;6;5;2;0;0;0;0;0;0;1;0;0;0
"Flicka";9;8;5;4;3;3;2;4;4;4;2;6;5;5;6;3;14;6;0;2;0;0;0;2;0
"Pojke";10;7;4;5;2;5;4;5;5;5;2;5;5;6;2;0;2;1;1;0;0;0;1;2;0
"Flicka";9;8;3;3;4;4;2;5;5;NA;1;6;6;5;2;0;1;0;0;0;0;0;0;0;0
"Pojke";9;9;4;3;4;3;3;5;5;5;5;5;5;7;7;0;0;0;0;0;0;0;0;0;0
"Pojke";8;7;4;3;2;2;2;3;3;2;2;6;6;3;6;1;2;1;1;1;0;1;0;3;0
"Flicka";9;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;2;0;0;3;0;3;0
"Pojke";10;8;4;5;4;5;4;3;3;4;2;5;5;5;3;0;0;0;0;0;0;0;0;0;0
"Flicka";10;9;5;2;2;5;4;5;5;4;2;7;7;7;4;0;0;0;0;0;0;0;0;0;0
NA;6;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;0;0;0;0;1;0
"Flicka";10;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;1;1;0;0;0;1;0
"Pojke";6;6;5;4;2;2;4;3;3;2;1;3;3;2;1;4;NA;4;3;2;0;2;2;3;1
"Flicka";7;7;3;5;4;5;1;4;4;3;2;4;4;4;2;0;0;0;0;0;0;1;0;0;0
"Flicka";9;9;4;3;4;3;1;4;5;2;1;6;6;6;1;1;0;0;0;0;0;0;0;0;0
"Pojke";9;7;NA;3;3;4;4;4;3;5;1;4;4;5;4;1;4;0;0;0;0;0;0;0;0
"Pojke";NA;NA;2;2;3;3;2;3;1;1;2;5;0;0;2;1;1;1;NA;1;NA;1;0;0;0
"Flicka";NA;NA;5;1;2;2;2;3;3;6;5;6;6;7;7;0;1;0;0;0;0;0;0;0;0
