"elev_kon";"vitsord_ma";"vitsord_mo";"utb_pabygg_mamma";"utb_pabygg_pappa";"medievanor1";"medievanor2";"medievanor3";"hur_ofta_lasbarn1";"hur_ofta_lasbarn2";"hur_ofta_lasbarn3";"hur_ofta_lasbarn5";"hur_garna_lasbarn1";"hur_garna_lasbarn2";"hur_garna_lasbarn3";"hur_garna_lasbarn5";"dist";"imp";"moto";"rikt";"uppr";"skif";"efig";"efpl";"efutf";"efutv"
"Pojke";NA;NA;4;5;3;2;3;2;3;4;6;4;4;7;7;0;0;0;0;0;0;0;2;2;0
"Pojke";NA;NA;5;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;12;7;4;6;4;3;5;4;3
"Pojke";7;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;8;6;3;6;1;1;3;3;1
"Pojke";9;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;4;6;0;2;2;0;1;1;1
"Flicka";8;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;2;1;0;1;0;0;0
"Flicka";8;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0
"Flicka";9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0
"Pojke";9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0
"Pojke";9;10;6;4;3;2;4;4;3;4;3;3;3;7;5;0;0;0;0;0;0;0;0;0;0
"Flicka";7;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;3;1;1;0;0;0;1;0;1
"Flicka";9;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0
"Pojke";10;9;NA;5;4;5;3;3;5;2;2;5;5;3;6;0;0;0;0;0;0;0;0;0;0
"Flicka";9;9;6;5;3;5;2;4;4;2;1;7;7;7;1;0;0;0;0;0;0;0;0;0;0
"Pojke";8;8;3;5;5;7;5;3;4;3;3;6;6;4;6;2;1;0;0;0;0;0;0;1;0
"Pojke";9;9;2;1;4;5;2;5;5;3;3;6;6;7;7;1;1;1;0;0;0;0;0;0;0
"Pojke";NA;NA;5;4;2;5;3;3;3;1;1;2;2;1;2;0;3;0;0;1;0;0;0;0;1
"Pojke";6;6;3;2;NA;NA;NA;5;NA;2;4;2;2;1;7;0;0;0;0;0;0;0;0;0;0
"Pojke";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0
"Pojke";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;2;0;0;0;0;0;0;0;0
"Flicka";9;8;NA;2;4;4;3;5;3;2;2;4;3;2;4;0;0;0;0;0;0;0;0;0;0
"Pojke";9;8;5;4;2;3;4;2;2;1;4;4;4;1;7;0;0;2;0;1;0;0;0;0;2
"Pojke";7;7;4;3;2;7;7;2;3;1;5;2;4;1;7;0;0;0;1;1;0;3;0;1;2
"Flicka";8;9;3;4;3;7;2;1;3;2;2;3;3;3;6;0;0;0;1;0;0;0;0;0;0
"Flicka";8;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0
"Flicka";9;8;4;3;4;4;2;3;4;2;2;4;4;3;4;0;0;0;0;0;0;0;0;0;0
"Flicka";8;8;3;3;4;3;2;4;4;4;1;4;4;5;2;1;0;0;1;0;0;0;0;0;0
"Flicka";8;9;3;4;3;3;1;NA;4;2;5;NA;4;6;7;0;0;0;0;0;0;0;0;0;0
"Pojke";9;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;0;0;0;0;0;1;0
"Pojke";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;2;0;6;8;4;9;3;9;2
"Pojke";NA;NA;2;2;3;4;3;2;2;1;2;2;2;2;3;4;10;6;3;6;4;4;3;7;1
"Pojke";NA;NA;3;2;3;4;4;3;3;1;1;2;2;1;2;1;4;2;4;4;2;5;2;4;2
"Pojke";NA;NA;5;5;4;5;5;4;5;2;2;7;7;5;5;0;0;0;0;0;0;0;0;0;0
"Pojke";9;8;NA;5;4;2;3;3;2;4;3;1;1;2;2;7;4;6;4;4;3;1;1;0;1
"Pojke";10;9;5;5;2;1;2;4;1;4;3;7;0;7;5;0;0;0;1;1;1;0;0;1;0
"Pojke";9;8;4;2;2;5;3;4;1;2;6;7;7;2;7;2;6;2;3;2;1;1;0;0;1
NA;10;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;2;3;5;1;5;4;1;3;3
"Flicka";9;9;NA;5;3;2;1;4;1;5;4;5;0;6;7;1;0;0;4;1;3;2;1;4;1
"Pojke";8;8;5;1;2;3;3;5;3;5;2;6;0;6;4;0;4;2;0;0;0;0;0;0;1
"Flicka";7;8;4;5;4;3;3;3;1;2;1;7;6;5;2;0;0;0;0;0;0;0;0;0;0
"Flicka";9;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0
"Flicka";8;8;5;4;3;3;2;4;2;2;2;6;5;6;4;0;0;0;0;0;0;0;0;0;0
"Pojke";9;9;4;5;3;1;NA;6;1;4;1;7;0;7;5;0;0;0;0;0;0;0;0;0;0
"Pojke";9;8;5;3;2;2;2;5;3;4;5;6;5;5;7;0;0;0;1;0;0;1;0;0;0
"Flicka";8;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;3;0;2;1;1;0;1;4;0
"Flicka";9;8;2;5;2;2;2;4;4;3;2;5;5;4;3;0;0;0;1;1;0;0;0;1;0
"Pojke";8;8;5;5;4;4;4;4;3;2;4;6;4;2;7;1;1;0;6;5;2;4;1;2;0
"Pojke";9;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;3;0;1;0;0;0;0;0;1
"Pojke";8;7;4;5;NA;NA;NA;4;3;3;2;6;4;3;3;2;4;1;1;1;0;1;0;4;0
"Flicka";7;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;5;0;2;3;1;0;0;4;0
"Flicka";9;9;4;5;2;2;2;3;4;3;2;4;4;4;4;0;0;0;0;0;0;0;0;0;0
"Flicka";8;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;2;0;0;0;0
"Flicka";9;9;5;3;5;5;2;5;5;2;1;5;3;5;3;0;0;0;0;0;0;0;0;0;0
"Flicka";9;9;NA;5;3;5;2;4;4;5;1;7;7;7;2;0;0;0;0;0;0;0;0;0;0
"Pojke";8;8;3;NA;3;4;3;NA;3;1;6;3;3;1;7;0;3;1;NA;0;0;0;0;1;0
"Pojke";9;9;6;5;2;3;3;NA;NA;NA;NA;4;4;7;7;0;0;0;0;0;0;0;0;0;0
"Flicka";8;8;4;3;5;7;2;NA;4;2;5;5;6;6;7;0;2;0;0;1;0;0;1;0;1
"Flicka";10;9;5;6;4;4;3;4;4;4;4;6;6;7;7;0;0;0;0;0;0;0;0;0;0
"Pojke";10;8;1;5;2;4;4;4;4;1;1;4;4;1;1;NA;1;0;0;0;0;0;0;0;0
"Flicka";9;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;1;0
"Flicka";9;9;5;5;3;4;2;NA;4;2;1;0;4;3;2;0;0;0;0;0;0;0;0;0;0
"Flicka";8;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;0;0;5;0;1;0;0;2;1
"Pojke";8;7;NA;4;4;3;1;NA;4;1;2;2;3;2;4;1;2;0;2;1;1;3;1;2;0
"Flicka";7;8;4;5;2;5;3;NA;4;3;1;4;4;3;2;1;0;0;0;0;NA;2;0;2;0
"Flicka";10;9;5;4;3;4;1;NA;3;3;1;0;1;5;0;1;2;2;1;0;0;0;0;0;0
"Pojke";7;6;5;2;4;4;3;3;4;1;3;3;5;5;5;3;9;10;4;5;5;4;5;7;5
"Pojke";8;7;2;2;2;3;4;4;4;1;2;2;2;1;1;8;17;13;10;10;6;7;8;12;6
"Flicka";8;8;5;3;3;3;1;4;4;2;1;2;3;1;1;6;3;1;4;5;1;5;4;10;1
"Pojke";9;7;2;3;2;3;3;3;4;1;2;2;2;1;4;8;14;12;7;7;5;9;8;10;5
"Flicka";9;9;6;5;3;3;2;5;5;2;1;7;7;4;1;0;0;0;0;0;0;0;0;0;0
"Pojke";9;8;3;2;5;7;3;4;5;1;2;7;7;1;3;0;0;0;0;0;0;0;0;0;0
"Flicka";7;8;2;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;1;0;0;0;0;1;0
"Pojke";6;7;5;2;3;6;6;1;5;1;2;0;3;2;3;0;1;0;2;1;0;3;0;1;0
"Flicka";8;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0
"Flicka";9;9;6;6;3;5;2;NA;5;3;1;NA;6;4;1;0;0;0;0;0;0;0;0;0;0
"Flicka";10;9;2;5;3;4;2;NA;4;1;1;NA;4;1;2;0;0;0;0;0;0;0;0;0;0
"Flicka";9;8;2;2;3;3;3;4;3;1;1;4;4;1;1;1;0;0;0;0;0;0;0;0;0
"Flicka";9;10;5;5;3;4;2;3;4;6;4;6;4;7;7;0;0;0;0;0;0;0;0;0;0
"Flicka";9;9;2;1;4;4;1;4;3;4;1;4;4;6;2;0;0;0;0;0;0;1;0;0;0
"Pojke";8;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;4;0;2;2;1;5;2;4;0
"Flicka";9;9;5;4;4;6;2;1;3;2;5;1;4;6;7;3;5;1;1;1;1;0;2;0;0
"Pojke";9;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1;0;0;0;0;0;0;1;0
"Flicka";10;8;5;3;2;2;2;1;4;4;1;0;5;7;6;0;0;0;0;0;0;0;0;0;0
"Pojke";8;7;3;2;4;6;3;NA;1;1;1;5;5;1;2;1;3;0;2;0;0;1;0;3;0
"Pojke";7;7;2;2;1;6;5;4;4;1;1;4;4;2;3;1;3;0;NA;NA;1;0;2;2;0
