"elev_kon";"dist_01";"dist_02";"dist_03";"dist_04";"imp_05";"imp_06";"imp_07";"imp_08";"imp_09";"imp_10";"imp_11";"imp_12";"imp_13";"moto_14";"moto_15";"moto_16";"moto_17";"moto_18";"moto_19";"moto_20";"rikt_21";"rikt_22";"rikt_23";"rikt_24";"rikt_25";"uppr_26";"uppr_27";"uppr_28";"uppr_29";"uppr_30";"uppr_31";"skif_32";"skif_33";"skif_34";"skif_35";"efig_36";"efig_37";"efig_38";"efig_39";"efig_40";"efig_sum";"efpl_41";"efpl_42";"efpl_43";"efpl_44";"efutf_45";"efutf_46";"efutf_47";"efutf_48";"efutf_49";"efutf_50";"efutf_51";"efutf_52";"efutv_53";"efutv_54";"efutv_55";"vitsord_ma";"vitsord_mo";"utb_pabygg_mamma";"utb_pabygg_pappa";"medievanor1";"medievanor2";"medievanor3";"hur_ofta_lasbarn1";"hur_ofta_lasbarn2";"hur_ofta_lasbarn3";"hur_ofta_lasbarn4";"hur_ofta_lasbarn5";"hur_ofta_lasbarn6";"hur_ofta_lasbarn7";"hur_garna_lasbarn1";"hur_garna_lasbarn2";"hur_garna_lasbarn3";"hur_garna_lasbarn4";"hur_garna_lasbarn5";"hur_garna_lasbarn6";"hur_garna_lasbarn7"
"Flicka";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;8;"högre högskoleexamen";"lägre högskoleexamen";"1h";"1h";"inte alls";"ibland eller några ggr/mån";"varje dag";"varje dag";"aldrig eller sällan";"ibland eller några ggr/mån";"aldrig eller sällan";"aldrig eller sällan";"5";"5";"mycket gärna";"2";"4";"2";"2"
"Flicka";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;8;"mellanstadie";"mellanstadie";"4h";"4h";"4h";"1-2 ggr/vecka";"1-2 ggr/vecka";"ibland eller några ggr/mån";"aldrig eller sällan";"aldrig eller sällan";"ibland eller några ggr/mån";"ibland eller några ggr/mån";"6";"6";"5";"2";"2";"5";"5"
"Flicka";1;1;1;0;2;2;1;2;2;1;1;1;2;1;0;1;1;0;2;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;9;8;"högre högskoleexamen";"lägre högskoleexamen";"1h";"1h";"< 1h";"flera gånger i veckan";"flera gånger i veckan";"flera gånger i veckan";"ibland eller några ggr/mån";"ibland eller några ggr/mån";"1-2 ggr/vecka";"ibland eller några ggr/mån";"6";"5";"5";"2";"6";"6";"6"
"Pojke";0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;10;7;"lägre högskoleexamen";"högre högskoleexamen";"< 1h";"3h";"2h";"varje dag";"varje dag";"varje dag";"1-2 ggr/vecka";"ibland eller några ggr/mån";"ibland eller några ggr/mån";"varje dag";"5";"5";"6";"3";"2";"mycket ogärna";"3"
"Pojke";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;9;"lägre högskoleexamen";"lägsta högre nivå";"2h";"1h";"1h";"varje dag";"varje dag";"varje dag";"1-2 ggr/vecka";"varje dag";"flera gånger i veckan";"varje dag";"5";"5";"mycket gärna";"5";"mycket gärna";"6";"6"
"Pojke";0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;8;7;"lägre högskoleexamen";"lägsta högre nivå";"< 1h";"< 1h";"< 1h";"1-2 ggr/vecka";"1-2 ggr/vecka";"ibland eller några ggr/mån";"ibland eller några ggr/mån";"ibland eller några ggr/mån";"ibland eller några ggr/mån";"ibland eller några ggr/mån";"6";"6";"3";"6";"6";"3";"6"
"Pojke";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;8;"lägre högskoleexamen";"högre högskoleexamen";"2h";"3h";"2h";"1-2 ggr/vecka";"1-2 ggr/vecka";"flera gånger i veckan";"ibland eller några ggr/mån";"ibland eller några ggr/mån";"ibland eller några ggr/mån";"flera gånger i veckan";"5";"5";"5";"2";"3";"2";"6"
"Flicka";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;9;"högre högskoleexamen";"mellanstadie";"< 1h";"3h";"2h";"varje dag";"varje dag";"flera gånger i veckan";"flera gånger i veckan";"ibland eller några ggr/mån";"aldrig eller sällan";"ibland eller några ggr/mån";"mycket gärna";"mycket gärna";"mycket gärna";"6";"4";"3";"6"
"Flicka";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;7;"lägsta högre nivå";"högre högskoleexamen";"2h";"3h";"inte alls";"flera gånger i veckan";"flera gånger i veckan";"1-2 ggr/vecka";"1-2 ggr/vecka";"ibland eller några ggr/mån";"1-2 ggr/vecka";"ibland eller några ggr/mån";"4";"4";"4";"4";"2";"3";"3"
"Flicka";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;9;"lägre högskoleexamen";"lägsta högre nivå";"2h";"1h";"inte alls";"flera gånger i veckan";"varje dag";"ibland eller några ggr/mån";"ibland eller några ggr/mån";"aldrig eller sällan";"ibland eller några ggr/mån";"flera gånger i veckan";"6";"6";"6";"4";"mycket ogärna";"6";"6"
"Pojke";1;1;0;0;1;2;0;2;2;0;1;0;0;0;0;0;1;1;0;0;0;1;1;1;1;2;1;1;2;1;1;1;1;1;1;1;1;0;2;2;6;2;0;1;1;1;1;1;1;1;1;1;1;1;1;1;8;8;"lägre högskoleexamen";"högre högskoleexamen";"1h";"< 1h";"< 1h";"flera gånger i veckan";"1-2 ggr/vecka";"ibland eller några ggr/mån";"ibland eller några ggr/mån";"ibland eller några ggr/mån";"ibland eller några ggr/mån";"ibland eller några ggr/mån";"6";"6";"6";"6";"6";"6";"mycket gärna"
"Flicka";2;2;2;1;2;0;2;1;2;2;2;0;1;1;0;0;1;0;1;0;2;2;2;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;1;2;9;1;1;2;1;2;1;1;1;1;2;2;2;0;1;1;7;5;"lägre högskoleexamen";"lägre högskoleexamen";"2h";"inte alls";"inte alls";"flera gånger i veckan";"flera gånger i veckan";"aldrig eller sällan";"aldrig eller sällan";"flera gånger i veckan";"aldrig eller sällan";"aldrig eller sällan";"mycket ogärna";"mycket ogärna";"mycket ogärna";"mycket ogärna";"2";"mycket ogärna";"2"
"Pojke";2;1;1;0;1;0;0;0;0;0;1;0;1;0;1;1;2;0;1;2;0;0;1;0;1;1;1;1;1;0;1;1;0;1;0;1;0;1;0;0;2;1;0;0;0;0;1;1;1;1;0;1;0;0;0;0;8;8;"högre högskoleexamen";"lägre högskoleexamen";"1h";"1h";"1h";"1-2 ggr/vecka";"ibland eller några ggr/mån";"1-2 ggr/vecka";"aldrig eller sällan";"ibland eller några ggr/mån";"ibland eller några ggr/mån";"ibland eller några ggr/mån";"5";"kan inte/har inte möjlighet att läsa";"4";"2";"5";"2";"4"
"Pojke";0;0;0;0;1;1;1;1;1;0;2;1;2;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;2;2;0;0;0;0;1;1;8;7;"högre högskoleexamen";"högre högskoleexamen";"1h";"1h";"< 1h";"ibland eller några ggr/mån";"aldrig eller sällan";"1-2 ggr/vecka";"1-2 ggr/vecka";"flera gånger per dag";"aldrig eller sällan";"ibland eller några ggr/mån";"2";"kan inte/har inte möjlighet att läsa";"5";"5";"mycket gärna";"kan inte/har inte möjlighet att läsa";"5"
"Pojke";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;9;9;"högre högskoleexamen";"högre högskoleexamen";"1h";"< 1h";"1h";"ibland eller några ggr/mån";"ibland eller några ggr/mån";"1-2 ggr/vecka";"ibland eller några ggr/mån";"flera gånger per dag";"ibland eller några ggr/mån";"aldrig eller sällan";"kan inte/har inte möjlighet att läsa";"kan inte/har inte möjlighet att läsa";"4";"6";"mycket gärna";"5";"kan inte/har inte möjlighet att läsa"
"Pojke";0;1;0;0;1;0;0;1;1;0;0;0;0;1;0;0;1;1;1;1;0;1;1;0;0;1;0;0;0;1;1;0;0;0;1;1;1;0;0;0;2;0;0;0;1;1;1;0;0;0;1;0;0;0;1;0;8;8;"högre högskoleexamen";"lägre högskoleexamen";"1h";"1h";"1h";"aldrig eller sällan";"1-2 ggr/vecka";"flera gånger per dag";"varje dag";"flera gånger per dag";"1-2 ggr/vecka";"1-2 ggr/vecka";"mycket gärna";"mycket gärna";"mycket gärna";"6";"mycket gärna";"mycket gärna";"mycket gärna"
"Flicka";0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;9;"forskarutbildning";"lägsta högre nivå";"3h";"3h";"inte alls";"ibland eller några ggr/mån";"1-2 ggr/vecka";"ibland eller några ggr/mån";"aldrig eller sällan";"aldrig eller sällan";"ibland eller några ggr/mån";"ibland eller några ggr/mån";"3";"3";"5";"2";"2";"2";"3"
"Flicka";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;7;7;"lägre högskoleexamen";"lägre högskoleexamen";"1h";"< 1h";"< 1h";"1-2 ggr/vecka";"1-2 ggr/vecka";"flera gånger i veckan";"flera gånger i veckan";"flera gånger i veckan";"1-2 ggr/vecka";"1-2 ggr/vecka";"5";"5";"5";"4";"5";"3";"3"
"Pojke";0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;1;0;0;0;0;0;1;1;1;1;1;5;0;0;1;0;1;1;0;0;1;2;0;1;0;0;1;7;7;"lägre högskoleexamen";"ingen påbyggnadsexamen";"1h";"< 1h";"< 1h";"1-2 ggr/vecka";"aldrig eller sällan";"aldrig eller sällan";"aldrig eller sällan";"1-2 ggr/vecka";"aldrig eller sällan";"ibland eller några ggr/mån";"4";"kan inte/har inte möjlighet att läsa";"kan inte/har inte möjlighet att läsa";"kan inte/har inte möjlighet att läsa";"6";"kan inte/har inte möjlighet att läsa";"kan inte/har inte möjlighet att läsa"
"Flicka";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;8;"lägsta högre nivå";"mellanstadie";"1h";"< 1h";"1h";"1-2 ggr/vecka";"1-2 ggr/vecka";"flera gånger i veckan";"aldrig eller sällan";"aldrig eller sällan";"aldrig eller sällan";"ibland eller några ggr/mån";"5";"5";"mycket gärna";"mycket ogärna";"2";"2";"4"
"Pojke";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;8;"mellanstadie";"mellanstadie";"< 1h";"< 1h";"< 1h";"1-2 ggr/vecka";"1-2 ggr/vecka";"1-2 ggr/vecka";"ibland eller några ggr/mån";"ibland eller några ggr/mån";"1-2 ggr/vecka";"aldrig eller sällan";"5";"5";"4";"5";"4";"4";"kan inte/har inte möjlighet att läsa"
"Flicka";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;7;"lägsta högre nivå";"mellanstadie";"3h";"< 1h";"< 1h";"1-2 ggr/vecka";"flera gånger i veckan";"flera gånger i veckan";"1-2 ggr/vecka";"ibland eller några ggr/mån";"ibland eller några ggr/mån";"aldrig eller sällan";"3";"4";"mycket gärna";"6";"3";"2";"2"
"Flicka";0;0;0;0;0;1;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;8;8;"högre högskoleexamen";"lägre högskoleexamen";"3h";"< 1h";"inte alls";"ibland eller några ggr/mån";"1-2 ggr/vecka";"ibland eller några ggr/mån";"aldrig eller sällan";"ibland eller några ggr/mån";"aldrig eller sällan";"1-2 ggr/vecka";"mycket ogärna";"mycket ogärna";"3";"4";"6";"mycket ogärna";"5"
"Flicka";1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;2;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;8;9;"forskarutbildning";"högre högskoleexamen";"3h";"2h";"2h";"flera gånger i veckan";"1-2 ggr/vecka";"1-2 ggr/vecka";"ibland eller några ggr/mån";"aldrig eller sällan";"ibland eller några ggr/mån";"ibland eller några ggr/mån";"6";"6";"4";"4";"mycket ogärna";"2";"2"
"Pojke";2;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;1;2;1;2;0;1;1;1;1;1;2;1;1;1;6;0;0;0;0;1;1;0;0;0;2;2;0;2;0;1;7;7;"ingen påbyggnadsexamen";"lägsta högre nivå";"2h";"< 1h";"< 1h";"flera gånger i veckan";"flera gånger i veckan";"ibland eller några ggr/mån";"1-2 ggr/vecka";"ibland eller några ggr/mån";"aldrig eller sällan";"aldrig eller sällan";"5";"5";"5";"6";"4";"5";"kan inte/har inte möjlighet att läsa"
"Flicka";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;9;9;"lägre högskoleexamen";"lägre högskoleexamen";"1h";"1h";"< 1h";"flera gånger i veckan";"flera gånger i veckan";"varje dag";"aldrig eller sällan";"varje dag";"1-2 ggr/vecka";"ibland eller några ggr/mån";"mycket gärna";"5";"mycket gärna";"3";"mycket gärna";"mycket gärna";"4"
"Pojke";0;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;8;6;"högre högskoleexamen";"lägre högskoleexamen";"< 1h";"< 1h";"< 1h";"flera gånger i veckan";"flera gånger i veckan";"aldrig eller sällan";"aldrig eller sällan";"varje dag";"aldrig eller sällan";"aldrig eller sällan";"3";"3";"mycket ogärna";"kan inte/har inte möjlighet att läsa";"mycket gärna";"kan inte/har inte möjlighet att läsa";"kan inte/har inte möjlighet att läsa"
"Pojke";0;1;0;0;0;1;1;1;1;0;0;1;1;1;0;0;1;0;1;0;1;1;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;1;1;2;0;0;0;1;0;0;1;0;0;0;1;1;1;1;1;9;7;"högre högskoleexamen";"lägre högskoleexamen";"1h";"inte alls";"< 1h";"flera gånger i veckan";"flera gånger i veckan";"flera gånger i veckan";"1-2 ggr/vecka";"flera gånger i veckan";"1-2 ggr/vecka";"1-2 ggr/vecka";"4";"4";"5";"5";"mycket gärna";"6";"6"
"Flicka";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;7;"lägre högskoleexamen";"ingen påbyggnadsexamen";"2h";"1h";"1h";"flera gånger i veckan";"1-2 ggr/vecka";"ibland eller några ggr/mån";"ibland eller några ggr/mån";"aldrig eller sällan";"aldrig eller sällan";"aldrig eller sällan";"6";"6";"6";"6";"3";"3";"3"
"Flicka";1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;9;8;"högre högskoleexamen";"forskarutbildning";"< 1h";"1h";"< 1h";"1-2 ggr/vecka";"aldrig eller sällan";"ibland eller några ggr/mån";"aldrig eller sällan";"ibland eller några ggr/mån";"aldrig eller sällan";"aldrig eller sällan";"6";"kan inte/har inte möjlighet att läsa";"5";"kan inte/har inte möjlighet att läsa";"5";"kan inte/har inte möjlighet att läsa";"kan inte/har inte möjlighet att läsa"
"Pojke";1;2;2;2;1;1;1;1;0;1;2;1;1;0;1;1;0;0;0;0;2;1;2;2;0;2;1;1;0;1;2;1;1;0;1;2;2;0;1;1;6;0;0;1;0;2;1;0;0;0;2;0;2;0;1;1;6;7;"lägre högskoleexamen";"ingen påbyggnadsexamen";"1h";"< 1h";"< 1h";"varje dag";"ibland eller några ggr/mån";"ibland eller några ggr/mån";"aldrig eller sällan";"aldrig eller sällan";"aldrig eller sällan";"aldrig eller sällan";"4";"4";"3";"2";"3";"mycket ogärna";"mycket ogärna"
"Pojke";0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;8;"lägre högskoleexamen";"lägsta högre nivå";"1h";"< 1h";"1h";"flera gånger i veckan";"flera gånger i veckan";"1-2 ggr/vecka";"ibland eller några ggr/mån";"ibland eller några ggr/mån";"aldrig eller sällan";"ibland eller några ggr/mån";"6";"6";"6";"5";"2";"mycket ogärna";"mycket ogärna"
"Pojke";1;1;0;1;0;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;8;"forskarutbildning";"högre högskoleexamen";"< 1h";"< 1h";"< 1h";"varje dag";"varje dag";"flera gånger i veckan";"aldrig eller sällan";"1-2 ggr/vecka";"aldrig eller sällan";"aldrig eller sällan";"5";"5";"5";"mycket ogärna";"6";"mycket ogärna";"mycket ogärna"
"Flicka";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;8;"lägsta högre nivå";"högre högskoleexamen";"1h";"1h";"< 1h";"ibland eller några ggr/mån";"flera gånger i veckan";"flera gånger i veckan";"ibland eller några ggr/mån";"ibland eller några ggr/mån";"flera gånger i veckan";"varje dag";"5";"5";"6";"3";"4";"6";"mycket gärna"
"Pojke";1;1;1;0;1;1;0;1;0;0;1;0;0;1;1;0;0;0;0;0;1;1;0;0;0;1;1;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;5;9;"högre högskoleexamen";"högre högskoleexamen";"1h";"3h";"1h";"1-2 ggr/vecka";"1-2 ggr/vecka";"aldrig eller sällan";"ibland eller några ggr/mån";"ibland eller några ggr/mån";"ibland eller några ggr/mån";"1-2 ggr/vecka";"2";"2";"mycket ogärna";"4";"2";"mycket ogärna";"5"
"Flicka";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;9;"högre högskoleexamen";"högre högskoleexamen";"1h";"1h";"inte alls";"varje dag";"varje dag";"varje dag";"varje dag";"aldrig eller sällan";"ibland eller några ggr/mån";"varje dag";"mycket gärna";"mycket gärna";"4";"4";"mycket ogärna";"4";"mycket gärna"
"Pojke";1;0;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;8;9;"lägre högskoleexamen";"lägre högskoleexamen";"< 1h";"1h";"< 1h";"flera gånger i veckan";"varje dag";"1-2 ggr/vecka";"1-2 ggr/vecka";"ibland eller några ggr/mån";"ibland eller några ggr/mån";"1-2 ggr/vecka";"5";"5";"6";"5";"4";"4";"4"
"Pojke";2;2;1;0;0;0;2;1;1;0;1;1;0;1;1;1;0;0;1;0;2;2;2;2;2;2;2;2;2;2;2;1;0;1;1;1;1;1;1;0;4;2;1;1;2;1;1;1;0;0;2;0;2;1;2;1;5;6;"lägsta högre nivå";"lägsta högre nivå";"2h";"2h";"1h";"ibland eller några ggr/mån";"ibland eller några ggr/mån";"ibland eller några ggr/mån";"1-2 ggr/vecka";"1-2 ggr/vecka";"1-2 ggr/vecka";"1-2 ggr/vecka";"2";"2";"2";"4";"4";"4";"3"
"Flicka";2;2;1;2;2;2;2;2;2;1;2;1;2;2;0;2;1;1;2;1;1;2;2;2;2;1;0;1;1;1;1;2;2;1;1;1;1;0;0;0;2;2;2;2;1;1;1;1;2;2;0;0;1;1;1;0;7;7;"mellanstadie";"ingen påbyggnadsexamen";"1h";"inte alls";"1h";"1-2 ggr/vecka";"aldrig eller sällan";"aldrig eller sällan";"aldrig eller sällan";"ibland eller några ggr/mån";"aldrig eller sällan";"aldrig eller sällan";"4";"kan inte/har inte möjlighet att läsa";"kan inte/har inte möjlighet att läsa";"kan inte/har inte möjlighet att läsa";"4";"kan inte/har inte möjlighet att läsa";"kan inte/har inte möjlighet att läsa"
"Flicka";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;9;"lägsta högre nivå";"lägsta högre nivå";"< 1h";"< 1h";"< 1h";"ibland eller några ggr/mån";"1-2 ggr/vecka";"varje dag";"ibland eller några ggr/mån";"flera gånger i veckan";"ibland eller några ggr/mån";"aldrig eller sällan";"6";"5";"mycket gärna";"5";"mycket gärna";"6";"5"
"Pojke";1;1;1;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;2;0;2;2;1;1;0;0;0;1;1;0;1;1;1;1;0;1;1;2;5;1;1;0;2;1;2;1;1;2;1;0;1;1;2;1;9;9;"lägre högskoleexamen";"ingen påbyggnadsexamen";"1h";"1h";"2h";"ibland eller några ggr/mån";"flera gånger i veckan";"aldrig eller sällan";"aldrig eller sällan";"1-2 ggr/vecka";"aldrig eller sällan";"1-2 ggr/vecka";"3";"3";"3";"3";"6";"2";"5"
"Pojke";0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0;1;1;1;1;0;0;0;2;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;9;8;"lägre högskoleexamen";"lägsta högre nivå";"< 1h";"< 1h";"< 1h";"flera gånger i veckan";"flera gånger i veckan";"1-2 ggr/vecka";"aldrig eller sällan";"ibland eller några ggr/mån";"aldrig eller sällan";"flera gånger i veckan";"3";"4";"2";"2";"4";"mycket ogärna";"4"
"Pojke";1;1;1;2;1;0;1;0;1;1;1;2;2;1;0;0;0;0;0;1;1;1;2;2;2;2;1;2;1;2;1;0;0;0;1;1;1;1;2;0;5;1;1;2;1;1;1;0;1;2;2;0;1;2;1;0;9;9;"lägre högskoleexamen";"mellanstadie";"2h";"< 1h";"1h";"flera gånger i veckan";"flera gånger i veckan";"1-2 ggr/vecka";"flera gånger i veckan";"varje dag";"ibland eller några ggr/mån";"ibland eller några ggr/mån";"6";"6";"6";"mycket gärna";"mycket gärna";"6";"5"
"Pojke";1;1;0;0;1;1;0;1;1;0;1;0;1;2;2;1;1;1;1;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;1;9;9;1;0;0;0;9;9;"forskarutbildning";"högre högskoleexamen";"< 1h";"< 1h";"1h";"flera gånger i veckan";"1-2 ggr/vecka";"ibland eller några ggr/mån";"ibland eller några ggr/mån";"1-2 ggr/vecka";"1-2 ggr/vecka";"aldrig eller sällan";"4";"4";"6";"4";"5";"5";"2"
"Flicka";0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;9;8;"högre högskoleexamen";"lägsta högre nivå";"1h";"< 1h";"< 1h";"flera gånger i veckan";"aldrig eller sällan";"aldrig eller sällan";"aldrig eller sällan";"ibland eller några ggr/mån";"aldrig eller sällan";"aldrig eller sällan";"mycket gärna";"mycket gärna";"2";"mycket ogärna";"2";"mycket ogärna";"mycket ogärna"
"Flicka";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;1;0;0;0;0;0;1;1;1;0;0;3;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;7;8;"lägre högskoleexamen";"mellanstadie";"1h";"< 1h";"< 1h";"flera gånger i veckan";"aldrig eller sällan";"1-2 ggr/vecka";"aldrig eller sällan";"flera gånger per dag";"aldrig eller sällan";"aldrig eller sällan";"5";"kan inte/har inte möjlighet att läsa";"mycket gärna";"2";"mycket gärna";"kan inte/har inte möjlighet att läsa";"kan inte/har inte möjlighet att läsa"
"Flicka";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;8;"lägre högskoleexamen";"högre högskoleexamen";"< 1h";"1h";"1h";"flera gånger i veckan";"aldrig eller sällan";"aldrig eller sällan";"aldrig eller sällan";"ibland eller några ggr/mån";"aldrig eller sällan";"aldrig eller sällan";"5";"mycket ogärna";"mycket ogärna";"mycket ogärna";"5";"mycket ogärna";"2"
