"elev_kon";"vitsord_ma";"vitsord_mo";"utb_pabygg_mamma";"utb_pabygg_pappa";"medievanor1";"medievanor2";"medievanor3";"hur_ofta_lasbarn1";"hur_ofta_lasbarn2";"hur_ofta_lasbarn3";"hur_ofta_lasbarn4";"hur_ofta_lasbarn5";"hur_ofta_lasbarn6";"hur_ofta_lasbarn7";"hur_garna_lasbarn1";"hur_garna_lasbarn2";"hur_garna_lasbarn3";"hur_garna_lasbarn4";"hur_garna_lasbarn5";"hur_garna_lasbarn6";"hur_garna_lasbarn7";"dist";"imp";"uppr";"moto";"rikt";"skif";"efig";"efpl";"efutf";"efutv";"attention"
"Pojke";7;8;5;6;2;2;2;5;5;3;3;3;3;1;7;7;5;5;6;4;4;3;3;1;3;1;0;0;0;0;2;13
"Flicka";8;8;4;5;3;3;2;4;4;4;1;1;1;1;5;5;6;0;3;0;0;0;2;1;1;1;1;0;1;3;0;10
"Flicka";7;8;6;5;3;4;3;5;5;3;2;1;1;2;5;5;4;2;1;0;2;0;0;0;0;0;0;0;0;0;0;0
"Flicka";8;9;3;5;2;7;2;1;2;1;1;2;2;5;1;1;1;1;2;2;6;2;5;1;0;0;0;0;0;0;0;8
"Flicka";7;7;4;2;3;4;1;4;3;1;1;1;1;3;4;4;1;2;2;2;3;1;0;0;0;2;0;1;1;0;0;5
"Pojke";7;8;4;5;4;3;2;4;4;1;1;2;1;2;7;7;1;3;5;3;4;0;0;0;0;0;0;0;0;0;0;0
"Pojke";9;8;5;5;2;4;5;4;4;2;2;2;2;3;3;3;2;4;3;2;3;4;4;1;3;2;1;1;1;0;2;19
"Flicka";8;8;5;3;4;4;1;3;4;3;1;1;1;5;7;7;6;1;1;1;6;0;0;0;0;0;0;0;0;0;0;0
"Pojke";8;8;3;5;3;2;4;4;2;1;1;1;1;2;3;4;1;4;4;4;3;1;0;2;1;0;1;1;1;1;0;8
"Flicka";9;9;2;3;4;4;2;3;4;4;3;3;2;4;5;5;3;3;4;3;5;0;0;0;0;0;0;0;0;0;0;0
"Flicka";8;8;4;5;4;3;2;4;4;2;2;2;1;3;6;6;6;4;4;3;3;0;0;0;0;0;0;0;0;0;0;0
"Flicka";10;10;5;5;2;3;1;4;4;4;1;1;1;1;6;6;7;1;3;4;3;0;0;0;0;0;0;0;0;0;0;0
"Flicka";9;9;2;3;3;6;1;3;2;2;1;1;1;3;4;4;5;1;1;1;5;0;0;0;0;0;0;0;0;0;0;0
"Flicka";8;9;3;5;4;7;2;2;4;3;2;2;3;3;5;5;5;5;5;5;5;0;0;0;0;0;0;0;0;0;0;0
"Flicka";8;8;2;1;2;2;2;5;4;3;2;3;2;5;6;6;4;3;4;4;4;0;2;0;0;0;0;0;0;1;1;4
"Flicka";9;8;4;1;3;2;2;2;4;4;3;2;2;1;7;7;7;7;7;7;4;0;0;0;0;0;0;0;0;0;0;0
"Pojke";7;5;1;2;4;4;2;4;4;2;3;1;1;2;2;6;1;6;1;1;4;7;12;11;0;10;7;8;7;14;6;82
"Flicka";8;8;3;5;3;3;3;3;3;3;3;4;4;4;6;6;6;6;6;6;6;0;0;0;0;0;0;0;0;0;0;0
"Flicka";6;6;5;5;4;3;2;5;5;3;2;3;2;2;6;6;6;1;4;5;2;5;3;7;0;4;4;6;0;4;0;33
"Flicka";10;9;5;5;4;2;3;4;4;3;3;4;1;1;5;6;7;7;7;5;1;0;0;0;0;0;0;0;0;0;0;0
"Flicka";8;8;4;5;2;3;2;5;5;3;3;3;3;3;6;6;3;3;3;4;5;0;0;0;0;0;0;0;1;0;0;1
"Pojke";7;7;5;2;3;2;4;3;2;2;4;2;2;2;3;3;3;7;4;5;5;3;5;6;2;9;4;7;4;12;1;53
"Flicka";10;10;5;5;2;2;2;3;2;5;2;4;2;1;6;6;7;6;7;5;5;2;1;0;0;6;3;3;2;2;1;20
"Pojke";9,5;10;2;2;3;4;4;5;4;4;2;4;3;1;7;7;7;7;7;7;3;0;0;0;0;0;0;0;0;1;0;1
"Pojke";8;8;3;2;4;4;4;3;3;1;1;2;1;2;2;2;2;2;4;3;4;7;11;11;9;0;0;8;4;8;3;61
"Pojke";9;9;4;3;4;4;4;2;2;1;2;2;1;5;2;3;2;5;3;2;7;4;10;6;7;4;1;5;1;3;0;41
"Flicka";7;8;4;2;3;1;2;4;1;1;2;6;3;1;7;6;5;5;7;6;0;0;4;0;1;4;0;0;0;1;0;10
"Pojke";6;6;4;2;5;2;2;3;2;1;1;1;1;1;5;4;1;4;5;3;4;7;8;11;8;10;6;8;2;11;4;75
"Pojke";8;6;2;2;5;2;4;4;2;1;1;2;1;1;2;0;0;0;4;0;0;3;6;6;4;6;3;7;4;8;2;49
"Pojke";9;8;3;4;3;5;5;3;4;1;2;1;2;2;2;3;2;2;3;3;3;3;3;0;1;0;0;0;0;0;0;7
"Pojke";8;7;2;2;2;4;2;4;4;1;1;1;1;2;4;4;1;1;1;2;3;3;3;0;1;1;0;1;0;1;0;10
"Pojke";9;8;5;2;3;3;3;4;4;2;2;5;1;1;4;5;2;7;7;2;2;3;9;0;2;0;0;0;1;2;1;18
"Flicka";9;9;4;4;2;3;3;2;3;4;1;4;2;1;4;4;7;5;7;6;4;4;1;0;2;0;0;0;0;0;0;7
"Pojke";9;8;4;4;3;3;4;4;2;2;2;3;2;3;4;4;4;4;4;4;7;0;1;0;1;1;0;0;0;0;0;3
"Flicka";8;9;4;2;2;6;3;2;4;2;1;2;1;4;3;3;3;1;3;2;7;0;1;0;0;0;0;0;0;0;1;2
"Pojke";8;7;4;4;2;2;3;5;3;1;1;2;1;1;3;4;1;1;3;1;1;2;8;9;5;6;5;4;5;7;3;54
"Pojke";7;7;3;5;4;4;4;3;1;1;1;1;1;1;4;4;1;1;2;1;1;4;9;9;5;6;6;7;6;8;2;62
"Pojke";9;8;5;4;2;3;2;2;1;2;1;2;1;1;3;2;1;1;2;1;1;1;8;1;1;1;2;0;2;2;0;18
"Flicka";10;8;4;5;3;4;1;4;4;2;1;1;2;5;6;6;6;3;3;4;6;0;0;0;0;0;0;0;0;0;0;0
"Flicka";8;8;4;4;4;2;2;4;2;3;2;3;1;1;5;5;4;4;6;3;2;2;1;0;1;2;0;1;0;2;0;9
"Pojke";9;8;5;5;3;2;3;3;1;1;1;2;1;2;5;0;1;0;1;0;1;6;8;7;10;2;2;2;1;4;2;44
"Flicka";9;8;5;5;3;3;4;3;4;2;1;2;2;2;6;6;5;2;4;4;2;0;3;0;0;0;0;0;0;0;0;3
"Pojke";9;8;3;4;2;4;3;3;4;2;1;6;1;1;7;7;7;7;7;6;6;0;6;0;1;0;0;0;0;0;0;7
"Flicka";9;7;4;2;4;3;2;4;4;4;2;3;2;2;6;6;7;7;6;3;3;0;0;0;0;0;0;0;0;0;0;0
"Pojke";8;7;5;2;3;3;2;4;4;5;4;5;2;1;3;2;6;5;7;6;4;0;0;0;0;4;0;0;0;2;0;6
"Pojke";8;8;4;4;2;2;2;4;4;2;2;1;2;1;7;7;7;7;2;2;0;2;7;2;0;2;1;1;1;1;1;18
"Pojke";8;8;5;4;3;4;2;4;4;3;2;2;1;1;6;6;3;3;4;2;4;3;5;1;2;2;0;1;2;3;0;19
"Flicka";9;9;5;3;3;2;3;2;5;2;2;1;2;2;6;6;3;3;3;4;4;0;0;0;0;0;0;0;0;0;0;0
"Pojke";7;6;4;2;3;4;4;2;3;1;1;3;1;1;4;4;4;1;7;0;0;3;8;4;4;2;1;3;1;5;1;32
"Flicka";9;9;5;5;3;5;3;2;4;5;2;2;2;5;5;4;7;4;4;4;7;5;5;1;2;1;2;0;1;2;0;19
"Flicka";8;9;2;2;4;3;2;2;4;2;2;1;2;1;4;5;3;3;3;3;3;0;0;0;0;1;0;1;0;0;0;2
"Flicka";8;8;5;2;2;2;1;1;4;4;3;2;2;4;6;6;6;5;5;6;6;1;2;0;1;0;0;0;0;0;0;4
"Pojke";8;9;5;5;2;3;4;3;2;1;1;2;1;1;6;6;5;3;5;1;1;0;1;1;0;0;0;1;0;2;1;6
"Pojke";6;6;5;5;2;3;2;3;2;1;2;2;2;2;4;4;2;4;6;4;6;3;8;7;5;9;5;7;5;7;6;62
"Flicka";9;9;5;4;2;2;2;3;2;4;1;2;1;2;6;6;6;0;4;2;3;1;0;2;0;0;0;0;1;2;0;6
"Pojke";9;8;4;4;2;2;2;3;2;2;2;5;2;2;6;6;7;7;7;6;6;0;8;0;6;3;0;2;0;1;3;23
"Pojke";7;7;4;2;3;3;2;4;1;1;1;1;1;1;5;0;0;0;0;0;0;4;12;3;8;6;6;6;4;7;4;60
"Pojke";9;9;3;4;4;4;3;5;4;2;2;3;3;3;6;6;4;3;5;4;5;1;0;0;0;0;0;0;0;0;0;1
"Flicka";9;9;5;5;3;3;2;3;3;3;1;1;1;1;7;7;2;2;2;2;2;1;0;0;0;0;0;0;0;0;0;1
